instance_id,model_name,architecture,normalised_entropy,mean_accuracy,n_perturbations,n_unique_answers,dataset,domain,params,dataset_order
mm_0026424,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0026424,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0026578,BERT-base,encoder,-0.0,0.0,2,,MedMentions,general,110M,0
mm_0026578,BioBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0026578,PubMedBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0027474,BERT-base,encoder,-0.0,0.0,2,,MedMentions,general,110M,0
mm_0027474,BioBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0027474,PubMedBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0027509,BERT-base,encoder,-0.0,0.0,4,,MedMentions,general,110M,0
mm_0027509,BioBERT,encoder,0.430676558073393,0.0,4,,MedMentions,biomedical,110M,0
mm_0027509,PubMedBERT,encoder,0.430676558073393,0.0,4,,MedMentions,biomedical,110M,0
mm_0027520,BERT-base,encoder,-0.0,0.0,7,,MedMentions,general,110M,0
mm_0027520,BioBERT,encoder,0.3284093786780838,0.0,7,,MedMentions,biomedical,110M,0
mm_0027520,PubMedBERT,encoder,-0.0,0.0,7,,MedMentions,biomedical,110M,0
mm_0028097,BERT-base,encoder,-0.0,0.0,3,,MedMentions,general,110M,0
mm_0028097,BioBERT,encoder,0.4591479170272448,0.0,3,,MedMentions,biomedical,110M,0
mm_0028097,PubMedBERT,encoder,-0.0,0.0,3,,MedMentions,biomedical,110M,0
mm_0028311,BERT-base,encoder,0.430676558073393,0.0,4,,MedMentions,general,110M,0
mm_0028311,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0028311,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0028386,BERT-base,encoder,0.1972242595274425,0.0,7,,MedMentions,general,110M,0
mm_0028386,BioBERT,encoder,0.3284093786780838,0.0,7,,MedMentions,biomedical,110M,0
mm_0028386,PubMedBERT,encoder,0.287706856188877,0.0,7,,MedMentions,biomedical,110M,0
mm_0028492,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0028492,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0028492,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0028536,BERT-base,encoder,-0.0,0.0,2,,MedMentions,general,110M,0
mm_0028536,BioBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0028536,PubMedBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0029538,BERT-base,encoder,-0.0,0.0,5,,MedMentions,general,110M,0
mm_0029538,BioBERT,encoder,0.3756149631508355,0.0,5,,MedMentions,biomedical,110M,0
mm_0029538,PubMedBERT,encoder,0.3756149631508355,0.0,5,,MedMentions,biomedical,110M,0
mm_0030505,BERT-base,encoder,-0.0,0.0,5,,MedMentions,general,110M,0
mm_0030505,BioBERT,encoder,-0.0,0.0,5,,MedMentions,biomedical,110M,0
mm_0030505,PubMedBERT,encoder,0.3756149631508355,0.0,5,,MedMentions,biomedical,110M,0
mm_0030723,BERT-base,encoder,0.430676558073393,0.0,4,,MedMentions,general,110M,0
mm_0030723,BioBERT,encoder,0.6460148371100897,0.0,4,,MedMentions,biomedical,110M,0
mm_0030723,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0030830,BERT-base,encoder,0.3562071871080222,0.0,6,,MedMentions,general,110M,0
mm_0030830,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0030830,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0031319,BERT-base,encoder,-0.0,0.0,2,,MedMentions,general,110M,0
mm_0031319,BioBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0031319,PubMedBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0031336,BERT-base,encoder,0.3271035759815648,0.0,6,,MedMentions,general,110M,0
mm_0031336,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0031336,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0031384,BERT-base,encoder,0.2315426583725049,0.0,6,,MedMentions,general,110M,0
mm_0031384,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0031384,PubMedBERT,encoder,0.4458393050175722,0.0,6,,MedMentions,biomedical,110M,0
mm_0032024,BERT-base,encoder,-0.0,1.0,5,,MedMentions,general,110M,0
mm_0032024,BioBERT,encoder,-0.0,1.0,5,,MedMentions,biomedical,110M,0
mm_0032024,PubMedBERT,encoder,-0.0,1.0,5,,MedMentions,biomedical,110M,0
mm_0032896,BERT-base,encoder,-0.0,0.0,2,,MedMentions,general,110M,0
mm_0032896,BioBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0032896,PubMedBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0033033,BERT-base,encoder,-0.0,0.0,4,,MedMentions,general,110M,0
mm_0033033,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0033033,PubMedBERT,encoder,0.430676558073393,0.0,4,,MedMentions,biomedical,110M,0
mm_0033615,BERT-base,encoder,-0.0,0.0,5,,MedMentions,general,110M,0
mm_0033615,BioBERT,encoder,0.5887621559162939,0.0,5,,MedMentions,biomedical,110M,0
mm_0033615,PubMedBERT,encoder,0.3756149631508355,0.0,5,,MedMentions,biomedical,110M,0
mm_0034026,BERT-base,encoder,-0.0,0.0,2,,MedMentions,general,110M,0
mm_0034026,BioBERT,encoder,0.6309297535714575,0.0,2,,MedMentions,biomedical,110M,0
mm_0034026,PubMedBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0034135,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0034135,BioBERT,encoder,0.3271035759815648,0.0,6,,MedMentions,biomedical,110M,0
mm_0034135,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0035154,BERT-base,encoder,0.2315426583725049,0.0,6,,MedMentions,general,110M,0
mm_0035154,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0035154,PubMedBERT,encoder,0.3271035759815648,0.0,6,,MedMentions,biomedical,110M,0
mm_0035353,BERT-base,encoder,0.3829449514269722,0.0,7,,MedMentions,general,110M,0
mm_0035353,BioBERT,encoder,0.3284093786780838,0.0,7,,MedMentions,biomedical,110M,0
mm_0035353,PubMedBERT,encoder,0.287706856188877,0.0,7,,MedMentions,biomedical,110M,0
mm_0035658,BERT-base,encoder,-0.0,0.0,2,,MedMentions,general,110M,0
mm_0035658,BioBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0035658,PubMedBERT,encoder,-0.0,0.0,2,,MedMentions,biomedical,110M,0
mm_0036097,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0036097,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0036097,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0036129,BERT-base,encoder,0.430676558073393,0.0,4,,MedMentions,general,110M,0
mm_0036129,BioBERT,encoder,0.3493984702822971,0.0,4,,MedMentions,biomedical,110M,0
mm_0036129,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0036226,BERT-base,encoder,0.3271035759815648,0.0,6,,MedMentions,general,110M,0
mm_0036226,BioBERT,encoder,0.3271035759815648,0.0,6,,MedMentions,biomedical,110M,0
mm_0036226,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0036569,BERT-base,encoder,-0.0,0.0,6,,MedMentions,general,110M,0
mm_0036569,BioBERT,encoder,0.3271035759815648,0.0,6,,MedMentions,biomedical,110M,0
mm_0036569,PubMedBERT,encoder,0.3271035759815648,0.0,6,,MedMentions,biomedical,110M,0
mm_0037241,BERT-base,encoder,-0.0,0.0,5,,MedMentions,general,110M,0
mm_0037241,BioBERT,encoder,0.3756149631508355,0.0,5,,MedMentions,biomedical,110M,0
mm_0037241,PubMedBERT,encoder,0.3756149631508355,0.0,5,,MedMentions,biomedical,110M,0
mm_0037245,BERT-base,encoder,0.2792799101286606,0.0,5,,MedMentions,general,110M,0
mm_0037245,BioBERT,encoder,0.3756149631508355,0.0,5,,MedMentions,biomedical,110M,0
mm_0037245,PubMedBERT,encoder,0.3756149631508355,0.0,5,,MedMentions,biomedical,110M,0
mm_0037301,BERT-base,encoder,-0.0,0.0,5,,MedMentions,general,110M,0
mm_0037301,BioBERT,encoder,-0.0,0.0,5,,MedMentions,biomedical,110M,0
mm_0037301,PubMedBERT,encoder,-0.0,0.0,5,,MedMentions,biomedical,110M,0
mm_0037668,BERT-base,encoder,0.430676558073393,0.0,4,,MedMentions,general,110M,0
mm_0037668,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0037668,PubMedBERT,encoder,0.3493984702822971,0.0,4,,MedMentions,biomedical,110M,0
mm_0037976,BERT-base,encoder,0.2559297535714574,0.75,8,,MedMentions,general,110M,0
mm_0037976,BioBERT,encoder,-0.0,1.0,8,,MedMentions,biomedical,110M,0
mm_0037976,PubMedBERT,encoder,0.3154648767857287,0.5,8,,MedMentions,biomedical,110M,0
mm_0038321,BERT-base,encoder,0.3493984702822971,0.0,4,,MedMentions,general,110M,0
mm_0038321,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0038321,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0038389,BERT-base,encoder,-0.0,0.0,4,,MedMentions,general,110M,0
mm_0038389,BioBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0038389,PubMedBERT,encoder,-0.0,0.0,4,,MedMentions,biomedical,110M,0
mm_0038431,BERT-base,encoder,0.5197589750988045,0.0,6,,MedMentions,general,110M,0
mm_0038431,BioBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0038431,PubMedBERT,encoder,0.2315426583725049,0.0,6,,MedMentions,biomedical,110M,0
mm_0038623,BERT-base,encoder,0.5197589750988045,0.0,6,,MedMentions,general,110M,0
mm_0038623,BioBERT,encoder,0.3271035759815648,0.0,6,,MedMentions,biomedical,110M,0
mm_0038623,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0038625,BERT-base,encoder,0.3271035759815648,0.0,6,,MedMentions,general,110M,0
mm_0038625,BioBERT,encoder,0.3271035759815648,0.0,6,,MedMentions,biomedical,110M,0
mm_0038625,PubMedBERT,encoder,-0.0,0.0,6,,MedMentions,biomedical,110M,0
mm_0039859,BERT-base,encoder,-0.0,0.0,8,,MedMentions,general,110M,0
mm_0039859,BioBERT,encoder,-0.0,0.0,8,,MedMentions,biomedical,110M,0
