question,gold_answer,instance_id,mention_context,gold_mention,gold_cui
Which is the basis of the ATAC-Seq protocol?,"This method probes DNA accessibility with hyperactive Tn5 transposase, which inserts sequencing adapters into accessible regions of chromatin. Sequencing reads can then be used to infer regions of inc",bioasq_10,Which is the basis of the ATAC-Seq protocol?,"This method probes DNA accessibility with hyperactive Tn5 transposase, which ins",QA_ANSWER
Is liquid biopsy a cost-effective technique in general population screening for colorectal cancer?,"No, liquid biopsy is not a cost-effective technique for general population screening for colorectal cancer, as its current cost and screening performance do not justify its use as a first- or second-l",bioasq_11,Is liquid biopsy a cost-effective technique in general population screening for colorectal cancer?,"No, liquid biopsy is not a cost-effective technique for general population scree",QA_ANSWER
"What is the meaning of the acronym ""TAILS"" used in protein N-terminomics?","TAILS stands for ""Terminal Amine Isotopic Labeling of Substrates""",bioasq_12,"What is the meaning of the acronym ""TAILS"" used in protein N-terminomics?","TAILS stands for ""Terminal Amine Isotopic Labeling of Substrates""",QA_ANSWER
Is TIAM1 favoring tumor progression in colorectal cancer (CRC)?,No. In colorectal cancer (CRC) TIAM1 suppresses tumor progression by regulating YAP/TAZ activity.,bioasq_13,Is TIAM1 favoring tumor progression in colorectal cancer (CRC)?,No. In colorectal cancer (CRC) TIAM1 suppresses tumor progression by regulating ,QA_ANSWER
Which Python tool has been developed for network-based stratification of tumor mutations?,PyNBS is a modularized Python 2.7 implementation of the network-based stratification (NBS) algorithm for stratifying tumor somatic mutation profiles into molecularly and clinically relevant subtypes.,bioasq_14,Which Python tool has been developed for network-based stratification of tumor mutations?,PyNBS is a modularized Python 2.7 implementation of the network-based stratifica,QA_ANSWER
What disease can be treated with Lenacapavir?,"Lenacapavir is a long-acting, highly potent HIV-1 capsid (CA) inhibitor that is approved for treatment of HIV-1.",bioasq_15,What disease can be treated with Lenacapavir?,"Lenacapavir is a long-acting, highly potent HIV-1 capsid (CA) inhibitor that is ",QA_ANSWER
What are the targets of avapritinib?,Avapritinib is a novel inhibitor of KIT/PDGFRA. It is approved in the U.S. for the treatment of adults with PDGFRA exon 18-mutant unresectable or metastatic gastrointestinal stromal tumors.,bioasq_16,What are the targets of avapritinib?,Avapritinib is a novel inhibitor of KIT/PDGFRA. It is approved in the U.S. for t,QA_ANSWER
Is co-loss of BRCA2-RB1 associated with better prognosis for prostate cancer patients?,"No. Co-loss of BRCA2-RB1 in human prostate cancer cells induces an epithelial-to-mesenchymal transition, which is associated with invasiveness and a more aggressive disease phenotype.",bioasq_17,Is co-loss of BRCA2-RB1 associated with better prognosis for prostate cancer patients?,No. Co-loss of BRCA2-RB1 in human prostate cancer cells induces an epithelial-to,QA_ANSWER
What medication are included in the Juvisync pill?,Juvisync pill included sitagliptin and simvastatin.,bioasq_18,What medication are included in the Juvisync pill?,Juvisync pill included sitagliptin and simvastatin.,QA_ANSWER
How are nucleosome posisitions correlated with sites of 5'-methyl-cytosine (5mC) or 5-hydroxy-methyl-cytosine (5hmC)?,"We find that  Mbd3 and  Brg1 antagonistically regulate a common set of genes by regulating promoter nucleosome occupancy. outside of CpG islands most CpGs are methylated, and the average methylation d",bioasq_19,How are nucleosome posisitions correlated with sites of 5'-methyl-cytosine (5mC) or 5-hydroxy-methyl-cytosine (5hmC)?,We find that  Mbd3 and  Brg1 antagonistically regulate a common set of genes by ,QA_ANSWER
List the human acrocentric chromosomes that are involved in Robertsonian translocation.,"Robertsonian translocations (ROBs) are the most common chromosomal rearrangements in humans. ROBs are whole-arm rearrangements between the acrocentric chromosomes 13, 14, 15, 21, and 22.",bioasq_20,List the human acrocentric chromosomes that are involved in Robertsonian translocation.,Robertsonian translocations (ROBs) are the most common chromosomal rearrangement,QA_ANSWER
What should you do if you find an individual that you suspect has overdosed?,"If you find an individual who you suspect has overdosed, it is important to seek medical help immediately. Call emergency services or go to the emergency room if the person is unresponsive, difficulty",bioasq_21,What should you do if you find an individual that you suspect has overdosed?,"If you find an individual who you suspect has overdosed, it is important to seek",QA_ANSWER
Is induction of interferon by TLR7 higher in males?,Yes. TLR7 activation correlates with induction of interferon more strongly in males.,bioasq_22,Is induction of interferon by TLR7 higher in males?,Yes. TLR7 activation correlates with induction of interferon more strongly in ma,QA_ANSWER
Which are the most commonly reported pathological states associated with the formation of DNA G-quadruplexes?,"There is a growing recognition for the profound role of G-quadruplexes in a wide spectrum of diseases, such as cancer, diabetes and cardiovascular disease. Amyotrophic lateral sclerosis (ALS) and fron",bioasq_23,Which are the most commonly reported pathological states associated with the formation of DNA G-quadruplexes?,There is a growing recognition for the profound role of G-quadruplexes in a wide,QA_ANSWER
Which drugs are included in the IROX regimen for colorectal cancer?,IROX regimen for colorectal cancer includes irinotecan and oxaliplatin.,bioasq_24,Which drugs are included in the IROX regimen for colorectal cancer?,IROX regimen for colorectal cancer includes irinotecan and oxaliplatin.,QA_ANSWER
What is the Her2 status in Li-Fraumeni syndrome?,"In the background of a germline TP53 mutation of the Li-Fraumeni syndrome, the Her2 status was found to be positive in 63-83% of the cases.",bioasq_25,What is the Her2 status in Li-Fraumeni syndrome?,"In the background of a germline TP53 mutation of the Li-Fraumeni syndrome, the H",QA_ANSWER
Is valproic acid effective for glioblastoma treatment?,"Yes, valproic acid prolong survival of glioblastoma patients. Valproic acid is an antiepileptic agent with histone deacetylase inhibitor activity shown to sensitize glioblastoma cells to radiation in ",bioasq_26,Is valproic acid effective for glioblastoma treatment?,"Yes, valproic acid prolong survival of glioblastoma patients. Valproic acid is a",QA_ANSWER
How is active neurotoxin of Clostridium botulinum detected?,"Active neurotoxin of Clostridium botulinum can be detected by:
mouse lethality assay
by mass spectrometry
bioassay
differentiated cell models
peptide cleavage assay
FDC (functional dual coating) micro",bioasq_27,How is active neurotoxin of Clostridium botulinum detected?,"Active neurotoxin of Clostridium botulinum can be detected by:
mouse lethality a",QA_ANSWER
Do proton pump inhibitors affect thyroxine absorption?,"Proton-pump inhibitors, antacids and a long list of drugs may decrease thyroxine absorption.
Patients with hypothyroidism and normal TSH values during LT4 replacement therapy may need additional thyro",bioasq_28,Do proton pump inhibitors affect thyroxine absorption?,"Proton-pump inhibitors, antacids and a long list of drugs may decrease thyroxine",QA_ANSWER
In which phase of cell cycle does  stress-induced transcription-associated mutagenesis (TAM) occur?,"Factors involved in RNA polymerase (RNAP) processivity or transcriptional derepression, such as Mfd (transcription coupling repair factor), contribute to the generation of stress-induced mutations. Un",bioasq_29,In which phase of cell cycle does  stress-induced transcription-associated mutagenesis (TAM) occur?,Factors involved in RNA polymerase (RNAP) processivity or transcriptional derepr,QA_ANSWER
What is the drug chloroquine or hydroxychloroquine used for?,"Chloroquine (CQ) has been used for decades as the primary chemotherapeutic drug for the treatment of malaria.
Hydroxychloroquine (HCQ), a 4-aminoquinolone antimalarial, is regarded as the oral therapy",bioasq_30,What is the drug chloroquine or hydroxychloroquine used for?,Chloroquine (CQ) has been used for decades as the primary chemotherapeutic drug ,QA_ANSWER
is intense physical activity associated with longevity ?,Several survival studies showed that professional athletes has higher longevity than general population. These epidemiological data matches the evidences that long-term endurance training induces in e,bioasq_31,is intense physical activity associated with longevity ?,Several survival studies showed that professional athletes has higher longevity ,QA_ANSWER
Is there a role of proton beam therapy in medulloblastoma treatment?,"Yes, proton beam therapy is used for treatment of medulloblastoma.",bioasq_32,Is there a role of proton beam therapy in medulloblastoma treatment?,"Yes, proton beam therapy is used for treatment of medulloblastoma.",QA_ANSWER
What are the effects of homozygosity of EDNRB mutations in addition to Hirschsprung disease?,"Three susceptibility genes have been recently identified in HSCR, namely the RET proto-oncogene, the endothelin B receptor (EDNRB) gene, and the endothelin 3 (EDN3) gene. RET gene mutations were found",bioasq_33,What are the effects of homozygosity of EDNRB mutations in addition to Hirschsprung disease?,"Three susceptibility genes have been recently identified in HSCR, namely the RET",QA_ANSWER
What is an acceptable sequence coverage(depth) required for human whole-exome sequencing?,A medium depth may be considered as 8x while the most common values vary between 30x and 60x. Values more than 75x or even up to 125x may be considered for the investigation of rare disease variants.,bioasq_34,What is an acceptable sequence coverage(depth) required for human whole-exome sequencing?,A medium depth may be considered as 8x while the most common values vary between,QA_ANSWER
What is the association between number of pregnancies and rheumatoid arthritis,"Greater parity significantly reduced the odds of RA. A larger number of pregnancies and late menopause show a protective effect, delaying the onset of the disease.",bioasq_35,What is the association between number of pregnancies and rheumatoid arthritis,Greater parity significantly reduced the odds of RA. A larger number of pregnanc,QA_ANSWER
Hairpatches is a single gene mutation associated with what disease?,"Hairpatches is a single gene mutation associated with progressive renal failure and alopecia in mice, and may be a potential model for a newly described heritable human disorder.",bioasq_36,Hairpatches is a single gene mutation associated with what disease?,Hairpatches is a single gene mutation associated with progressive renal failure ,QA_ANSWER
Which signaling pathways have been associated with medulloblastoma formation and growth?,Medulloblastoma comprises approximately 20% of all primary pediatric brain tumors. Multiple signaling pathways have been associated with disease formation and growth. These include the developmental p,bioasq_37,Which signaling pathways have been associated with medulloblastoma formation and growth?,Medulloblastoma comprises approximately 20% of all primary pediatric brain tumor,QA_ANSWER
Which cytokine molecule activates SMADs?,SMADs are activated by Transforming growth factor beta (TGF beta),bioasq_38,Which cytokine molecule activates SMADs?,SMADs are activated by Transforming growth factor beta (TGF beta),QA_ANSWER
Has Denosumab (Prolia) been approved by FDA?,"Yes, Denosumab was approved by the FDA in 2010.",bioasq_39,Has Denosumab (Prolia) been approved by FDA?,"Yes, Denosumab was approved by the FDA in 2010.",QA_ANSWER
Is there an association between presenteeism and depression?,Yes. Presenteeism is associated with depression. Remission of depression is associated with improvement of presenteeism.,bioasq_40,Is there an association between presenteeism and depression?,Yes. Presenteeism is associated with depression. Remission of depression is asso,QA_ANSWER
What is the role of music therapy in coma patients.,Several studies have shown that music can boost cognitive functions in patients with a disorder of consciousness but it is difficult to conclude since they did not use quantified measures and a contro,bioasq_41,What is the role of music therapy in coma patients.,Several studies have shown that music can boost cognitive functions in patients ,QA_ANSWER
What was the purpose of the FANTOM4 project?,The international Functional Annotation Of the Mammalian Genomes 4 (FANTOM4) research collaboration set out to better understand the transcriptional network that regulates macrophage differentiation a,bioasq_42,What was the purpose of the FANTOM4 project?,The international Functional Annotation Of the Mammalian Genomes 4 (FANTOM4) res,QA_ANSWER
Herpes viruses have what type of genome?,"The Herpesviridae are a family of viruses which have a large genome of linear, double-stranded DNA (> 120 kb)",bioasq_43,Herpes viruses have what type of genome?,"The Herpesviridae are a family of viruses which have a large genome of linear, d",QA_ANSWER
With which personality traits has the human monoamine oxidase A (MAOA) gene been associated?,"Association studies suggest that the low activity variant of the monoamine oxidase A (MAOA)-uVNTR polymorphism confers risk for emotional disturbances associated with antisocial traits, particularly i",bioasq_44,With which personality traits has the human monoamine oxidase A (MAOA) gene been associated?,Association studies suggest that the low activity variant of the monoamine oxida,QA_ANSWER
What is a bacteriocin?,"Bacteriocins, the ribosomally produced antimicrobial peptides of bacteria, represent an untapped source of promising antibiotic alternatives.
One such strategy involves using narrow-spectrum protein a",bioasq_45,What is a bacteriocin?,"Bacteriocins, the ribosomally produced antimicrobial peptides of bacteria, repre",QA_ANSWER
Is there a mouse model for Fanconi anemia?,"A number of mouse models have already been generated with a targeted disruption of several Fanconi anemia genes, such as FANCA, FANCF, FANCM, FANCD1, etc.",bioasq_46,Is there a mouse model for Fanconi anemia?,A number of mouse models have already been generated with a targeted disruption ,QA_ANSWER
What are the 3 types of ultraviolet (UV) solar radiation?,"Solar ultraviolet (UV) radiation, an ubiquitous environmental carcinogen, is classified depending on the wavelength, into three regions; short-wave UVC (200-280 nm), mid-wave UVB (280-320 nm), and lon",bioasq_47,What are the 3 types of ultraviolet (UV) solar radiation?,"Solar ultraviolet (UV) radiation, an ubiquitous environmental carcinogen, is cla",QA_ANSWER
Does radiotherapy for prostate cancer increase bladder cancer risk?,"Yes, radiotherapy for prostate cancer is associated with increased bladder cancer risk.",bioasq_48,Does radiotherapy for prostate cancer increase bladder cancer risk?,"Yes, radiotherapy for prostate cancer is associated with increased bladder cance",QA_ANSWER
Has small pox been eradicated from the world?,smallpox is now eradicated.,bioasq_49,Has small pox been eradicated from the world?,smallpox is now eradicated.,QA_ANSWER
Was golimumab tested for diabetes?,"Yes, among children and young adults with newly diagnosed overt type 1 diabetes, golimumab resulted in better endogenous insulin production and less exogenous insulin use than placebo.",bioasq_50,Was golimumab tested for diabetes?,"Yes, among children and young adults with newly diagnosed overt type 1 diabetes,",QA_ANSWER
Describe GeneCodeq,The exponential reduction in cost of genome sequencing has resulted in a rapid growth of genomic data. Most of the entropy of short read data lies not in the sequence of read bases themselves but in t,bioasq_51,Describe GeneCodeq,The exponential reduction in cost of genome sequencing has resulted in a rapid g,QA_ANSWER
The diagnosis of cholestasis is based on the elevations seen in what liver function tests?,Cholestasis is due to  an excess of bile in the liver  and is often due to a biliary obstruction. There are  disproportionate elevations in alkaline phosphatase (ALP) compared to alanine aminotransfer,bioasq_52,The diagnosis of cholestasis is based on the elevations seen in what liver function tests?,Cholestasis is due to  an excess of bile in the liver  and is often due to a bil,QA_ANSWER
What are common side effects of the progesterone-only pill (POP)?,"The progestogen-only pill may change your periods (lighter, more frequent or stop altogether). 
Bleeding (spotting) between periods.
Acne. 
Mood swings.
Weight gain. 
Changes to libido.

Speak to a ph",bioasq_53,What are common side effects of the progesterone-only pill (POP)?,"The progestogen-only pill may change your periods (lighter, more frequent or sto",QA_ANSWER
Which chromosomes are implicated in the Emanuel syndrome?,"Emanuel syndrome is associated with supernumerary chromosome t(11;22)(q23;q11), which consists of the extra genetic material from chromosomes 11 and 22.",bioasq_54,Which chromosomes are implicated in the Emanuel syndrome?,"Emanuel syndrome is associated with supernumerary chromosome t(11;22)(q23;q11), ",QA_ANSWER
What is the mode of administration of Ubrogepant?,Ubrogepant (MK-1602) is administered orally.,bioasq_55,What is the mode of administration of Ubrogepant?,Ubrogepant (MK-1602) is administered orally.,QA_ANSWER
Which mutated genes are associated with isolated ectopia lentis?,"Isolated ectopia lentis (EL) is caused by mutation in genes:
1) ADAMTSL4 and 
2) Fibrillin-1 (FBN1).",bioasq_56,Which mutated genes are associated with isolated ectopia lentis?,"Isolated ectopia lentis (EL) is caused by mutation in genes:
1) ADAMTSL4 and 
2)",QA_ANSWER
Explain gene knock-down.,"Gene knock-down refers to the reduction of the expression of a specific gene using various techniques such as RNA interference (RNAi). This method can be used to study gene function, treat genetic dis",bioasq_57,Explain gene knock-down.,Gene knock-down refers to the reduction of the expression of a specific gene usi,QA_ANSWER
Is there a crystal structure of the full-length of the flaviviridae NS5(Methyltransferase - RNA depended RNA Polymerase) ?,"Yes, there is the crystal Structure of the full-length Japanese encephalitis virus (Flaviviridae) NS5 - PDB:4K6M",bioasq_58,Is there a crystal structure of the full-length of the flaviviridae NS5(Methyltransferase - RNA depended RNA Polymerase) ?,"Yes, there is the crystal Structure of the full-length Japanese encephalitis vir",QA_ANSWER
How does Pamrevlumab work?,"Pamrevlumab is a fully human monoclonal antibody that targets connective tissue growth factor (CTGF). It works by inhibiting the activity of CTGF, which is involved in the progression of Duchenne musc",bioasq_59,How does Pamrevlumab work?,Pamrevlumab is a fully human monoclonal antibody that targets connective tissue ,QA_ANSWER
Which resource contains accurate enhancer predictions in the developing limb?,"Limb-Enhancer Genie (LEG) is a collection of highly accurate, genome-wide predictions of enhancers in the developing limb, available through a user-friendly online interface. Limb enhancers are predic",bioasq_60,Which resource contains accurate enhancer predictions in the developing limb?,"Limb-Enhancer Genie (LEG) is a collection of highly accurate, genome-wide predic",QA_ANSWER
Which gene is involved in Giant Axonal Neuropathy?,"Giant axonal neuropathy (GAN) is a progressive neurodegenerative disease caused by autosomal recessive mutations in the GAN gene resulting in a loss of a ubiquitously expressed protein, gigaxonin",bioasq_61,Which gene is involved in Giant Axonal Neuropathy?,Giant axonal neuropathy (GAN) is a progressive neurodegenerative disease caused ,QA_ANSWER
What is the proteoform?,"Although proteomics has rapidly developed in the past decade, researchers are still in the early stage of exploring the world of complex proteoforms, which are protein products with various primary st",bioasq_62,What is the proteoform?,"Although proteomics has rapidly developed in the past decade, researchers are st",QA_ANSWER
Which transcription factors are involved in E-cadherin repression during EMT?,"Downregulation of E-cadherin is a crucial event for epithelial to mesenchymal transition (EMT) in embryonic development and cancer progression. Overexpression of Snail1 (Snail), Snail2 (Slug), Zeb1, T",bioasq_63,Which transcription factors are involved in E-cadherin repression during EMT?,Downregulation of E-cadherin is a crucial event for epithelial to mesenchymal tr,QA_ANSWER
What is included in the fourth generation HIV test?,Fourth generation assays detect simultaneously antibodies for HIV and the p24 antigen. It identifies HIV infection earlier than previous generation tests.,bioasq_64,What is included in the fourth generation HIV test?,Fourth generation assays detect simultaneously antibodies for HIV and the p24 an,QA_ANSWER
What are the 3 main bacteria found in human milk?,"Human milk is rich in diverse bacteria, particularly Staphylococcus, Streptococcus and Pseudomonas genera.",bioasq_65,What are the 3 main bacteria found in human milk?,"Human milk is rich in diverse bacteria, particularly Staphylococcus, Streptococc",QA_ANSWER
Describe the RNA Centric Annotation System (RCAS),The RNA Centric Annotation System (RCAS) is an R package which is designed to ease the process of creating gene-centric annotations and analysis for the genomic regions of interest obtained from vario,bioasq_66,Describe the RNA Centric Annotation System (RCAS),The RNA Centric Annotation System (RCAS) is an R package which is designed to ea,QA_ANSWER
Is Enlimomab effective for stroke treatment?,No. Anti-ICAM therapy with enlimomab is not an effective treatment for ischemic stroke in and may significantly worsen stroke outcome.,bioasq_67,Is Enlimomab effective for stroke treatment?,No. Anti-ICAM therapy with enlimomab is not an effective treatment for ischemic ,QA_ANSWER
What is the Versene Solution used for?,the Versene Solution is used for the detachment of stem cell sheets.,bioasq_68,What is the Versene Solution used for?,the Versene Solution is used for the detachment of stem cell sheets.,QA_ANSWER
What is the number of long non coding RNAs in the human genome,"Different estimates put currently the number of human long non coding RNAs between 10,000 and 20,000",bioasq_69,What is the number of long non coding RNAs in the human genome,Different estimates put currently the number of human long non coding RNAs betwe,QA_ANSWER
Does iron regulate oligodendrocyte maturation?,"Yes, iron availability is essential for normal oligodendrocyte maturation as the oligodendrocytes depend on iron for their proper development, differentiation, and myelination.",bioasq_70,Does iron regulate oligodendrocyte maturation?,"Yes, iron availability is essential for normal oligodendrocyte maturation as the",QA_ANSWER
What does polyadenylate-binding protein 4 (PABP4) bind to?,PABP4  binds mRNA poly(A) tails.,bioasq_71,What does polyadenylate-binding protein 4 (PABP4) bind to?,PABP4  binds mRNA poly(A) tails.,QA_ANSWER
Could DNA (cytosine-5-)-methyltransferases serve as tumour markers?,"Yes. It has been demonstrated in a number of experimental studies that DNA (Cytosine-5-)-methyltransferases (DNMT1, DNMT3A and DNMT3B) are deregulated in several types of cancer (invasive cervical can",bioasq_72,Could DNA (cytosine-5-)-methyltransferases serve as tumour markers?,Yes. It has been demonstrated in a number of experimental studies that DNA (Cyto,QA_ANSWER
What are some of the effects of Zika Virus in infected individuals?,"While most of the symptoms of zika virus are relatively mild, zika virus in pregnant mothers can cause microcephaly and other congenital defects in the fetus.",bioasq_73,What are some of the effects of Zika Virus in infected individuals?,"While most of the symptoms of zika virus are relatively mild, zika virus in preg",QA_ANSWER
Which cell type has the protein Chromogranin A as marker?,Chromogranin A is a marker for neuroendocrine cells,bioasq_74,Which cell type has the protein Chromogranin A as marker?,Chromogranin A is a marker for neuroendocrine cells,QA_ANSWER
What is the function of the protein SERT?,SERT is a Serotonin transporter.,bioasq_75,What is the function of the protein SERT?,SERT is a Serotonin transporter.,QA_ANSWER
Please list 3 diseases associated with the PIEZO2 gene.,"Recently, Gordon syndrome has been associated to heterozygous mutations in the piezo-type mechanosensitive ion channel component 2 gene (PIEZO2). Different mutations of this gene also cause distal art",bioasq_76,Please list 3 diseases associated with the PIEZO2 gene.,"Recently, Gordon syndrome has been associated to heterozygous mutations in the p",QA_ANSWER
Is low T3 syndrome a prognostic marker in patients with renal insufficiency?,"Low fT3 is an independent predictor of death in chronic kidney disease, in particular in dialised patients at end-stage renal diseases.",bioasq_77,Is low T3 syndrome a prognostic marker in patients with renal insufficiency?,"Low fT3 is an independent predictor of death in chronic kidney disease, in parti",QA_ANSWER
What is the normal function p53?,Wild-type p53 can suppress tumour development by multiple pathways.,bioasq_78,What is the normal function p53?,Wild-type p53 can suppress tumour development by multiple pathways.,QA_ANSWER
What is the importance of Janus Kinases in dermatology?,"Janus Kinase (JAK) is active in many skin diseases and recent evidence show that inhibitors of JAK kinase could be used to treat vitiligo, psoriasis, lupus, alopecia areata and other inflammatory skin",bioasq_79,What is the importance of Janus Kinases in dermatology?,Janus Kinase (JAK) is active in many skin diseases and recent evidence show that,QA_ANSWER
Which deiodinase is known to be present in liver?,"High D1 and D3 activities are present in fetal human liver, and high D1 and mostly absent D3 activities are present in adult human liver.",bioasq_80,Which deiodinase is known to be present in liver?,"High D1 and D3 activities are present in fetal human liver, and high D1 and most",QA_ANSWER
Are BRAF V600E mutation associated to worse prognosis in colorectal cancer patients?,"- Yes, in metastatic colorectal cancer, BRAF V600E mutation is associated with worse prognosis in patients with left-sided tumors, and its impact in right-sided tumors is controversial.
- Yes, in pati",bioasq_81,Are BRAF V600E mutation associated to worse prognosis in colorectal cancer patients?,"- Yes, in metastatic colorectal cancer, BRAF V600E mutation is associated with w",QA_ANSWER
What is the role of cytidine deaminase in healthy cells?,Activation-induced cytidine deaminase (AID) catalyses the deamination of deoxycytidines to deoxyuracils within immunoglobulin genes to induce somatic hypermutation and class-switch recombination.,bioasq_82,What is the role of cytidine deaminase in healthy cells?,Activation-induced cytidine deaminase (AID) catalyses the deamination of deoxycy,QA_ANSWER
List anti-amyloid-beta monoclonal antibodies that have been investigated in clinical trials for treatment of Alzheimer disease.,"Ponezumab, solanezumab and bapineuzumab are humanized antiamyloid beta (Aβ) monoclonal antibodies that have been designed for treatment of Alzheimer disease.",bioasq_83,List anti-amyloid-beta monoclonal antibodies that have been investigated in clinical trials for treatment of Alzheimer disease.,"Ponezumab, solanezumab and bapineuzumab are humanized antiamyloid beta (Aβ) mono",QA_ANSWER
"SGOT is an abbreviation for an enzyme other wise known as alanine amino transferase, yes or no?","patients with aspartate amino transferase (SGOT), alanine amino transferase (SGPT),",bioasq_84,"SGOT is an abbreviation for an enzyme other wise known as alanine amino transferase, yes or no?","patients with aspartate amino transferase (SGOT), alanine amino transferase (SGP",QA_ANSWER
Is myasthenia gravis associated with osteoporosis?,Myasthenia gravis (MG) is a neuromuscular disease which has been associated with an increased risk of glucocorticoid-induced osteoporosis. Thymectomy can also increase risk for osteoporosis. Appropria,bioasq_85,Is myasthenia gravis associated with osteoporosis?,Myasthenia gravis (MG) is a neuromuscular disease which has been associated with,QA_ANSWER
Is there association of matrix metalloproteinases with behaviour of pituitary adenomas?,"Yes, there is evidence to suggest that matrix metalloproteinases are associated with more aggressive of pituitary adenomas.",bioasq_86,Is there association of matrix metalloproteinases with behaviour of pituitary adenomas?,"Yes, there is evidence to suggest that matrix metalloproteinases are associated ",QA_ANSWER
Against which protein is the antibody used for immonostaining of Lewy bodies raised?,"alpha-Synuclein is a presynaptic protein, which was identified as a specific component of Lewy bodies (LB) and Lewy neurites. Therefore, immunostaining for detecting the presence of Lewy bodies is car",bioasq_87,Against which protein is the antibody used for immonostaining of Lewy bodies raised?,"alpha-Synuclein is a presynaptic protein, which was identified as a specific com",QA_ANSWER
Where are Goblet cells localized?,"Goblet cells are found in the intestine, in the lungs, in the eyes etc. Goblet cells are localized in the epithelium.",bioasq_88,Where are Goblet cells localized?,"Goblet cells are found in the intestine, in the lungs, in the eyes etc. Goblet c",QA_ANSWER
"Where, in what US state, was there a measles outbreak in an Amish community",The measles outbreak started an Amish community in Ohio,bioasq_89,"Where, in what US state, was there a measles outbreak in an Amish community",The measles outbreak started an Amish community in Ohio,QA_ANSWER
New treatments in multiple sclerosis.,"New approaches to treatment for MS include gut microbiome modification, fumarates, interferons, and biologicals.",bioasq_90,New treatments in multiple sclerosis.,"New approaches to treatment for MS include gut microbiome modification, fumarate",QA_ANSWER
Is ACE2 expressed on cell surfaces?,"Yes,
ACE2 is a type 1 integral membrane protein and contains a catalytically active ectodomain that can be shed from the cell surface into the extracellular space.",bioasq_91,Is ACE2 expressed on cell surfaces?,"Yes,
ACE2 is a type 1 integral membrane protein and contains a catalytically act",QA_ANSWER
What is the proteoglycan Tsukushi?,"Tsukushi (TSK), a member of the small leucine-rich repeat proteoglycan (SLRP) family, plays multifunctional roles by interacting with signaling molecules during development.
In lung cancer cells, TSK ",bioasq_92,What is the proteoglycan Tsukushi?,"Tsukushi (TSK), a member of the small leucine-rich repeat proteoglycan (SLRP) fa",QA_ANSWER
Has protein citrullination been implicated in rheumatoid arthritis?,"Yes, protein citrullination been implicated in rheumatoid arthritis.",bioasq_93,Has protein citrullination been implicated in rheumatoid arthritis?,"Yes, protein citrullination been implicated in rheumatoid arthritis.",QA_ANSWER
