instance_id,model_name,architecture,dataset,normalised_entropy,mean_accuracy,n_perturbations,domain,params
bioasq_127,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_128,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_13,FLAN-T5-base,generative,BioASQ,-0.0,0.0,6,general,250M
bioasq_132,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_133,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_134,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_135,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_136,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_138,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_139,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_14,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_140,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_142,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_143,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_144,FLAN-T5-base,generative,BioASQ,0.3271035759815648,0.0,6,general,250M
bioasq_145,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_146,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_147,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_148,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_149,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_15,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_16,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_17,FLAN-T5-base,generative,BioASQ,-0.0,0.0,6,general,250M
bioasq_18,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_2,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_20,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_21,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_22,FLAN-T5-base,generative,BioASQ,0.3271035759815648,0.0,6,general,250M
bioasq_23,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_24,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_25,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_26,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_27,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_28,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_30,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_31,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_32,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_34,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_35,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_36,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_37,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_38,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_39,FLAN-T5-base,generative,BioASQ,0.3271035759815648,0.0,6,general,250M
bioasq_4,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_40,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_41,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_43,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_44,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_46,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_47,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_48,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_50,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_53,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_54,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_55,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_56,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_57,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_58,FLAN-T5-base,generative,BioASQ,-0.0,0.0,6,general,250M
bioasq_6,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_60,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_61,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_63,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_64,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_65,FLAN-T5-base,generative,BioASQ,0.3271035759815648,0.0,6,general,250M
bioasq_66,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_67,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_68,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_69,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_70,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_71,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_72,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_73,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_74,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_75,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_79,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_8,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_81,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_82,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_83,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_84,FLAN-T5-base,generative,BioASQ,-0.0,0.0,6,general,250M
bioasq_85,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_86,FLAN-T5-base,generative,BioASQ,0.3271035759815648,0.0,6,general,250M
bioasq_87,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_88,FLAN-T5-base,generative,BioASQ,0.3271035759815648,0.0,6,general,250M
bioasq_89,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_9,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_90,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_91,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_92,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_93,FLAN-T5-base,generative,BioASQ,-0.0,0.0,2,general,250M
bioasq_94,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_95,FLAN-T5-base,generative,BioASQ,0.5645750340535796,0.0,6,general,250M
bioasq_96,FLAN-T5-base,generative,BioASQ,0.43067655807339306,0.0,4,general,250M
bioasq_97,FLAN-T5-base,generative,BioASQ,-0.0,0.0,4,general,250M
bioasq_98,FLAN-T5-base,generative,BioASQ,0.3271035759815648,0.0,6,general,250M
bioasq_0,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_1,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_10,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_100,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_101,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_102,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_103,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_105,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_106,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,6,general,11B
bioasq_108,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_11,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_110,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_111,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_112,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_113,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,6,general,11B
bioasq_114,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_115,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_116,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_118,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_12,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_120,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_121,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_122,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_123,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_125,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_126,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_127,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_128,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_13,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_132,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_133,FLAN-T5-XXL,generative,BioASQ,0.3271035759815648,0.0,6,general,11B
bioasq_134,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_135,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_136,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_138,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_139,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_14,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_140,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_142,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_143,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_144,FLAN-T5-XXL,generative,BioASQ,0.3271035759815648,0.0,6,general,11B
bioasq_145,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_146,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_147,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_148,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_149,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_15,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_16,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_17,FLAN-T5-XXL,generative,BioASQ,0.3271035759815648,0.0,6,general,11B
bioasq_18,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_2,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_20,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_21,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_22,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,6,general,11B
bioasq_23,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_24,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_25,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_26,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_27,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_28,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_30,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_31,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_32,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_34,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_35,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_36,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_37,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_38,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_39,FLAN-T5-XXL,generative,BioASQ,0.3271035759815648,0.0,6,general,11B
bioasq_4,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_40,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_41,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_43,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_44,FLAN-T5-XXL,generative,BioASQ,0.3271035759815648,0.0,6,general,11B
bioasq_46,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_47,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_48,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_50,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_53,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_54,FLAN-T5-XXL,generative,BioASQ,0.3271035759815648,0.0,6,general,11B
bioasq_55,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_56,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_57,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_58,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,6,general,11B
bioasq_6,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_60,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_61,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_63,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_64,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_65,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_66,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_67,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_68,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_69,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_70,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_71,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_72,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_73,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_74,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_75,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_79,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_8,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_81,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_82,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_83,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_84,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,6,general,11B
bioasq_85,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_86,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,6,general,11B
bioasq_87,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_88,FLAN-T5-XXL,generative,BioASQ,0.3271035759815648,0.0,6,general,11B
bioasq_89,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_9,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_90,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_91,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_92,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_93,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,2,general,11B
bioasq_94,FLAN-T5-XXL,generative,BioASQ,0.43067655807339306,0.0,4,general,11B
bioasq_95,FLAN-T5-XXL,generative,BioASQ,0.3271035759815648,0.0,6,general,11B
bioasq_96,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_97,FLAN-T5-XXL,generative,BioASQ,-0.0,0.0,4,general,11B
bioasq_98,FLAN-T5-XXL,generative,BioASQ,0.5645750340535796,0.0,6,general,11B
bioasq_0,BioMistral-7B,generative,BioASQ,0.5645750340535796,0.0,6,biomedical,7B
bioasq_1,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_10,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_100,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_101,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_102,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_103,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_105,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_106,BioMistral-7B,generative,BioASQ,0.5645750340535796,0.0,6,biomedical,7B
bioasq_108,BioMistral-7B,generative,BioASQ,0.5645750340535796,0.0,6,biomedical,7B
bioasq_11,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_110,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_111,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_112,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_113,BioMistral-7B,generative,BioASQ,0.3271035759815648,0.0,6,biomedical,7B
bioasq_114,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_115,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_116,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_118,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_12,BioMistral-7B,generative,BioASQ,0.5645750340535796,0.3333333333333333,6,biomedical,7B
bioasq_120,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_121,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_122,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_123,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_125,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_126,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_127,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_128,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_13,BioMistral-7B,generative,BioASQ,0.3271035759815648,0.0,6,biomedical,7B
bioasq_132,BioMistral-7B,generative,BioASQ,0.5645750340535796,0.0,6,biomedical,7B
bioasq_133,BioMistral-7B,generative,BioASQ,0.5645750340535796,0.0,6,biomedical,7B
bioasq_134,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_135,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_136,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_138,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_139,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_14,BioMistral-7B,generative,BioASQ,0.5645750340535796,0.0,6,biomedical,7B
bioasq_140,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_142,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_143,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_144,BioMistral-7B,generative,BioASQ,0.5645750340535796,0.0,6,biomedical,7B
bioasq_145,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_146,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_147,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_148,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_149,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_15,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_16,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_17,BioMistral-7B,generative,BioASQ,0.5645750340535796,0.0,6,biomedical,7B
bioasq_18,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_2,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_20,BioMistral-7B,generative,BioASQ,0.5645750340535796,0.0,6,biomedical,7B
bioasq_21,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_22,BioMistral-7B,generative,BioASQ,0.5645750340535796,0.0,6,biomedical,7B
bioasq_23,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_24,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_25,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_26,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_27,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_28,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_30,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_31,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_32,BioMistral-7B,generative,BioASQ,0.43067655807339306,0.0,4,biomedical,7B
bioasq_34,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
bioasq_35,BioMistral-7B,generative,BioASQ,0.5645750340535796,0.0,6,biomedical,7B
bioasq_36,BioMistral-7B,generative,BioASQ,-0.0,0.0,2,biomedical,7B
