instance_id,question,mention_context,gold_mention,gold_cui
squad_35,Where is the oldest known rock in the world located?,"Where is the oldest known rock in the world located? All of these processes do not necessarily occur in a single environment, and do not necessarily occur in a single order. The Hawaiian Islands, for example, consist almost entirely of layered basaltic ",Slave craton in northwestern Canada,QA_ANSWER
squad_36,The mother of which emperor was a concubine?,"The mother of which emperor was a concubine? Since its invention in 1269, the 'Phags-pa script, a unified script for spelling Mongolian, Tibetan, and Chinese languages, was preserved in the court until the end of the dynasty. Most of the Emperor",Tugh Temur,QA_ANSWER
squad_37,"After 1945, what challenged the French empire?","After 1945, what challenged the French empire? In World War II, Charles de Gaulle and the Free French used the overseas colonies as bases from which they fought to liberate France. However after 1945 anti-colonial movements began to challenge the ",anti-colonial movements,QA_ANSWER
squad_38,What type of outlook do some of the Muslims in London have?,"What type of outlook do some of the Muslims in London have? Greater London has over 900,000 Muslims, (most of South Asian origins and concentrated in the East London boroughs of Newham, Tower Hamlets and Waltham Forest), and among them are some with a strong I",strong Islamist,QA_ANSWER
squad_39,What did the Works Council Directive require?,"What did the Works Council Directive require? Following the election of the UK Labour Party to government in 1997, the UK formally subscribed to the Agreement on Social Policy, which allowed it to be included with minor amendments as the Social C",workforce consultation in businesses,QA_ANSWER
squad_40,What type of radar was used to classify trees into four categories?,"What type of radar was used to classify trees into four categories? To accurately map the Amazon's biomass and subsequent carbon related emissions, the classification of tree growth stages within different parts of the forest is crucial. In 2006 Tatiana Kuplich organi",Synthetic aperture radar (SAR),QA_ANSWER
squad_41,At what degree are the pistons of a two-cylinder compound connected to the cranks?,"At what degree are the pistons of a two-cylinder compound connected to the cranks? With two-cylinder compounds used in railway work, the pistons are connected to the cranks as with a two-cylinder simple at 90° out of phase with each other (quartered). When the double expansion group",90,QA_ANSWER
squad_42,What can curtail the risk of occupational injuries in the construction industry?,"What can curtail the risk of occupational injuries in the construction industry? Construction is one of the most dangerous occupations in the world, incurring more occupational fatalities than any other sector in both the United States and in the European Union. In 2009, the fatal",Proper safety equipment such as harnesses and guardrails and procedures such as securing ladders and inspecting scaffolding,QA_ANSWER
squad_43,What did the Gulf War inadvertently do in the early 1990s?,"What did the Gulf War inadvertently do in the early 1990s? Another factor in the early 1990s that worked to radicalize the Islamist movement was the Gulf War, which brought several hundred thousand US and allied non-Muslim military personnel to Saudi Arabian ",worked to radicalize the Islamist movement,QA_ANSWER
squad_44,With what European country did the Huguenots feel kinship for emigration to?,"With what European country did the Huguenots feel kinship for emigration to? Stadtholder William III of Orange, who later became King of England, emerged as the strongest opponent of king Louis XIV after the French attacked the Dutch Republic in 1672. William formed the League",Dutch Republic,QA_ANSWER
squad_45,"Outside of national recognition, what other kind of recognition do some of the cities get?","Outside of national recognition, what other kind of recognition do some of the cities get? Southern California is divided culturally, politically, and economically into distinctive regions, each containing its own culture and atmosphere, anchored usually by a city with both national and som",global,QA_ANSWER
squad_46,What is the process by which the antigen/antibody complex is processed in to peptides?,What is the process by which the antigen/antibody complex is processed in to peptides? A B cell identifies pathogens when antibodies on its surface bind to a specific foreign antigen. This antigen/antibody complex is taken up by the B cell and processed by proteolysis into peptides. The,proteolysis,QA_ANSWER
squad_47,Microplates squeezing and rotating created the features of what?,"Microplates squeezing and rotating created the features of what? In southern Europe, the stage was set in the Triassic Period of the Mesozoic Era, with the opening of the Tethys Ocean, between the Eurasian and African tectonic plates, between about 240 MBP and 220 ",Mediterranean geography,QA_ANSWER
squad_48,Who wrote the poem The Mark of Anarchy?,"Who wrote the poem The Mark of Anarchy? Following the Peterloo massacre of 1819, poet Percy Shelley wrote the political poem The Mask of Anarchy later that year, that begins with the images of what he thought to be the unjust forms of autho",Percy Shelley,QA_ANSWER
squad_49,Los Angeles is in the lower part of what?,"Los Angeles is in the lower part of what? Though there is no official definition for the northern boundary of southern California, such a division has existed from the time when Mexico ruled California, and political disputes raged between th",Alta California,QA_ANSWER
squad_50,US is concerned about confrontation of the Middle East with which other country?,"US is concerned about confrontation of the Middle East with which other country? In the United States, scholars argue that there already existed a negotiated settlement based on equality between both parties prior to 1973. The possibility that the Middle East could become another ",USSR,QA_ANSWER
squad_51,What word is the word pharmacy taken from?,"What word is the word pharmacy taken from? The word pharmacy is derived from its root word pharma which was a term used since the 15th–17th centuries. However, the original Greek roots from pharmakos imply sorcery or even poison. In addition t",its root word pharma,QA_ANSWER
squad_52,A satellite that measured the amount of dust going to the Amazon was named what?,"A satellite that measured the amount of dust going to the Amazon was named what? NASA's CALIPSO satellite has measured the amount of dust transported by wind from the Sahara to the Amazon: an average 182 million tons of dust are windblown out of the Sahara each year, at 15 degrees",CALIPSO,QA_ANSWER
squad_53,Vaccination exploits what feature of the human immune system in order to be successful?,"Vaccination exploits what feature of the human immune system in order to be successful? Long-term active memory is acquired following infection by activation of B and T cells. Active immunity can also be generated artificially, through vaccination. The principle behind vaccination (also ",natural specificity of the immune system,QA_ANSWER
squad_54,How long has Proportionality been recognized as one of the general principles of EU law?,How long has Proportionality been recognized as one of the general principles of EU law? Proportionality is recognised one of the general principles of European Union law by the European Court of Justice since the 1950s. According to the general principle of proportionality the lawfulness,since the 1950s,QA_ANSWER
squad_55,What type of math was advanced during the Yuan?,What type of math was advanced during the Yuan? Advances in polynomial algebra were made by mathematicians during the Yuan era. The mathematician Zhu Shijie (1249–1314) solved simultaneous equations with up to four unknowns using a rectangular arra,polynomial algebra,QA_ANSWER
squad_56,What country did the Rhine continue to rise during the holocene?,"What country did the Rhine continue to rise during the holocene? At the begin of the Holocene (~11,700 years ago), the Rhine occupied its Late-Glacial valley. As a meandering river, it reworked its ice-age braidplain. As sea-level continued to rise in the Netherlan",Netherlands,QA_ANSWER
squad_57,What signer of the Articles of Confederation was descended from Huguenots?,"What signer of the Articles of Confederation was descended from Huguenots? Paul Revere was descended from Huguenot refugees, as was Henry Laurens, who signed the Articles of Confederation for South Carolina; Jack Jouett, who made the ride from Cuckoo Tavern to warn Thomas Je",Henry Laurens,QA_ANSWER
squad_58,The university agreed to grant a degree to any graduate of affiliate schoos that did what?,"The university agreed to grant a degree to any graduate of affiliate schoos that did what? In the 1890s, the University of Chicago, fearful that its vast resources would injure smaller schools by drawing away good students, affiliated with several regional colleges and universities: Des Moi",made a grade of A for all four years,QA_ANSWER
squad_59,What did Thoreau ask a public figure the taxman to do?,"What did Thoreau ask a public figure the taxman to do? However, this definition is disputed by Thoreau's political philosophy pitching the conscience vs. the collective. The individual is the final judge of right and wrong. More than this, since only indi",Resign,QA_ANSWER
squad_60,What is the name of the property that designates a number as being prime or not?,What is the name of the property that designates a number as being prime or not? The property of being prime (or not) is called primality. A simple but slow method of verifying the primality of a given number n is known as trial division. It consists of testing whether n is a mult,primality,QA_ANSWER
squad_61,What is the scenario called in which we don't change our greenhouse gas creation practices?,What is the scenario called in which we don't change our greenhouse gas creation practices? The executive summary of the WG I Summary for Policymakers report says they are certain that emissions resulting from human activities are substantially increasing the atmospheric concentrations of th,"""business as usual"" (BAU)",QA_ANSWER
squad_62,Who was famous for disobedience against a tax collector?,"Who was famous for disobedience against a tax collector? However, this definition is disputed by Thoreau's political philosophy pitching the conscience vs. the collective. The individual is the final judge of right and wrong. More than this, since only indi",Thoreau,QA_ANSWER
squad_63,"Economy, Energy and Tourism is one of the what?","Economy, Energy and Tourism is one of the what? Subject Committees are established at the beginning of each parliamentary session, and again the members on each committee reflect the balance of parties across Parliament. Typically each committee co",current Subject Committees,QA_ANSWER
squad_64,"Which two importers claimed that under a French competition law, they were prevented from selling Picon beer under wholesale price?","Which two importers claimed that under a French competition law, they were prevented from selling Picon beer under wholesale price? In contrast to product requirements or other laws that hinder market access, the Court of Justice developed a presumption that ""selling arrangements"" would be presumed to not fall into TFEU article 34",Keck and Mithouard,QA_ANSWER
squad_65,What is the weather type of Mallee and upper Wimmera?,What is the weather type of Mallee and upper Wimmera? The Mallee and upper Wimmera are Victoria's warmest regions with hot winds blowing from nearby semi-deserts. Average temperatures exceed 32 °C (90 °F) during summer and 15 °C (59 °F) in winter. Except,warmest regions,QA_ANSWER
squad_66,What is the unproven assumption generally ascribed to the value of complexity classes?,"What is the unproven assumption generally ascribed to the value of complexity classes? Many known complexity classes are suspected to be unequal, but this has not been proved. For instance P ⊆ NP ⊆ PP ⊆ PSPACE, but it is possible that P = PSPACE. If P is not equal to NP, then P is not e",suspected to be unequal,QA_ANSWER
squad_67,Who mapped the Alta Vista Tract?,Who mapped the Alta Vista Tract? Homes from the early 20th century line this boulevard in the heart of the historic Alta Vista Tract. The section of Huntington Boulevard between First Street on the west to Cedar Avenue on the east is,William Stranahan,QA_ANSWER
squad_68,In what state is the largest Huguenot Society located?,"In what state is the largest Huguenot Society located? Paul Revere was descended from Huguenot refugees, as was Henry Laurens, who signed the Articles of Confederation for South Carolina; Jack Jouett, who made the ride from Cuckoo Tavern to warn Thomas Je",Texas,QA_ANSWER
squad_69,What is the name of the Bungie Inc. founder who is also a university graduate?,"What is the name of the Bungie Inc. founder who is also a university graduate? In the arts and entertainment, minimalist composer Philip Glass, dancer, choreographer and leader in the field of dance anthropology Katherine Dunham, Bungie founder and developer of the Halo video ga",Alex Seropian,QA_ANSWER
squad_70,How many divisions make up the academics of the university?,How many divisions make up the academics of the university? The College of the University of Chicago grants Bachelor of Arts and Bachelor of Science degrees in 50 academic majors and 28 minors. The college's academics are divided into five divisions: the Biolo,five,QA_ANSWER
squad_71,In which region tribe were large settlements discovered?,"In which region tribe were large settlements discovered? Terra preta (black earth), which is distributed over large areas in the Amazon forest, is now widely accepted as a product of indigenous soil management. The development of this fertile soil allowed a",Xingu tribe,QA_ANSWER
squad_72,What did electromagnetic theory  finally lead to?,"What did electromagnetic theory  finally lead to? However, attempting to reconcile electromagnetic theory with two observations, the photoelectric effect, and the nonexistence of the ultraviolet catastrophe, proved troublesome. Through the work of le",quantum electrodynamics,QA_ANSWER
squad_73,What other topics can Civil disobedience pertain to?,"What other topics can Civil disobedience pertain to? Non-revolutionary civil disobedience is a simple disobedience of laws on the grounds that they are judged ""wrong"" by an individual conscience, or as part of an effort to render certain laws ineffectiv","cultural traditions, social customs, religious beliefs",QA_ANSWER
squad_74,Having existing utility lines marked lessens the likelihood of what?,"Having existing utility lines marked lessens the likelihood of what? Before the foundation can be dug, contractors are typically required to verify and have existing utility lines marked, either by the utilities themselves or through a company specializing in such serv",damage,QA_ANSWER
squad_75,What are the two major subsystems of the immune system?,"What are the two major subsystems of the immune system? The immune system is a system of many biological structures and processes within an organism that protects against disease. To function properly, an immune system must detect a wide variety of agents,",innate immune system versus the adaptive immune system,QA_ANSWER
squad_76,Who fought in the great Northern war?,"Who fought in the great Northern war? In the first half of the 17th century, a plague claimed some 1.7 million victims in Italy, or about 14% of the population. In 1656, the plague killed about half of Naples' 300,000 inhabitants. More th",Sweden v. Russia and allies,QA_ANSWER
squad_77,Where was Friedrich Ratzel born?,Where was Friedrich Ratzel born? The Royal Geographical Society of London and other geographical societies in Europe had great influence and were able to fund travelers who would come back with tales of their discoveries. These socie,Germany,QA_ANSWER
squad_78,Who proved that air is necessary for combustion?,"Who proved that air is necessary for combustion? In the late 17th century, Robert Boyle proved that air is necessary for combustion. English chemist John Mayow (1641–1679) refined this work by showing that fire requires only a part of air that he ca",Robert Boyle,QA_ANSWER
squad_79,Who is the third riches man in America?,"Who is the third riches man in America? In business, notable alumni include Microsoft CEO Satya Nadella, Oracle Corporation founder and the third richest man in America Larry Ellison, Goldman Sachs and MF Global CEO as well as former Govern",Larry Ellison,QA_ANSWER
squad_80,How far apart are some of the neighborhood's features?,"How far apart are some of the neighborhood's features? The neighborhood features restaurants, live theater and nightclubs, as well as several independent shops and bookstores, currently operating on or near Olive Avenue, and all within a few hundred feet ",all within a few hundred feet of each other,QA_ANSWER
squad_81,What do Cydippids use to capture their prey?,"What do Cydippids use to capture their prey? Almost all ctenophores are predators, taking prey ranging from microscopic larvae and rotifers to the adults of small crustaceans; the exceptions are juveniles of two species, which live as parasites ",colloblasts,QA_ANSWER
squad_82,How far does one pharmacy in Croatia date back to?,"How far does one pharmacy in Croatia date back to? In Europe there are old pharmacies still operating in Dubrovnik, Croatia, located inside the Franciscan monastery, opened in 1317; and in the Town Hall Square of Tallinn, Estonia, dating from at least",1317,QA_ANSWER
squad_83,What is the name of the supposition that there are infinite pairs of primes whose difference is 2?,"What is the name of the supposition that there are infinite pairs of primes whose difference is 2? Many questions regarding prime numbers remain open, such as Goldbach's conjecture (that every even integer greater than 2 can be expressed as the sum of two primes), and the twin prime conjecture (tha",the twin prime conjecture,QA_ANSWER
squad_84,What school was Walter Camp a captain for the football team?,"What school was Walter Camp a captain for the football team? Harvard's athletic rivalry with Yale is intense in every sport in which they meet, coming to a climax each fall in the annual football meeting, which dates back to 1875 and is usually called simply ""T",former captain of the Yale football team,QA_ANSWER
squad_85,What are the most active parts of ctenophora?,"What are the most active parts of ctenophora? The internal cavity forms: a mouth that can usually be closed by muscles; a pharynx (""throat""); a wider area in the center that acts as a stomach; and a system of internal canals. These branch through",the mouth and pharynx;,QA_ANSWER
squad_86,How is oxygen produced from carbon dioxide on the other planets of the solar system?,"How is oxygen produced from carbon dioxide on the other planets of the solar system? Oxygen is the most abundant chemical element by mass in the Earth's biosphere, air, sea and land. Oxygen is the third most abundant chemical element in the universe, after hydrogen and helium. About 0",ultraviolet radiation,QA_ANSWER
squad_87,What does pharmacy legislation mandate?,"What does pharmacy legislation mandate? In most countries, the dispensary is subject to pharmacy legislation; with requirements for storage conditions, compulsory texts, equipment, etc., specified in legislation. Where it was once the case ","storage conditions, compulsory texts, equipment, etc.",QA_ANSWER
squad_88,When is Sky going to introduce UHD broadcasts?,"When is Sky going to introduce UHD broadcasts? On 18 November 2015, Sky announced Sky Q, a range of products and services to be available in 2016. The Sky Q range consists of three set top boxes (Sky Q, Sky Q Silver and Sky Q Mini), a broadband ro",2016,QA_ANSWER
squad_89,How many scalar equations were formed into a set by James Maxwell?,"How many scalar equations were formed into a set by James Maxwell? The origin of electric and magnetic fields would not be fully explained until 1864 when James Clerk Maxwell unified a number of earlier theories into a set of 20 scalar equations, which were later ref",20,QA_ANSWER
squad_90,What does BSkyB's sport portfolio include?,"What does BSkyB's sport portfolio include? On 8 February 2007, BSkyB announced its intention to replace its three free-to-air digital terrestrial channels with four subscription channels. It was proposed that these channels would offer a range",English Premier League Football,QA_ANSWER
squad_91,What was the occupation of Joseph Priestley?,"What was the occupation of Joseph Priestley? In the meantime, on August 1, 1774, an experiment conducted by the British clergyman Joseph Priestley focused sunlight on mercuric oxide (HgO) inside a glass tube, which liberated a gas he named ""deph",clergyman,QA_ANSWER
squad_92,What type of outcomes can even stable markets lead to?,"What type of outcomes can even stable markets lead to? In a purely capitalist mode of production (i.e. where professional and labor organizations cannot limit the number of workers) the workers wages will not be controlled by these organizations, or by th",unfair,QA_ANSWER
squad_93,What is tuition for 2012 - 13 year at Harvard? ,"What is tuition for 2012 - 13 year at Harvard?  For the 2012–13 school year annual tuition was $38,000, with a total cost of attendance of $57,000. Beginning 2007, families with incomes below $60,000 pay nothing for their children to attend, includ","$38,000",QA_ANSWER
squad_94,What stature did pharmacists have in the pre-Heian Imperial court?,"What stature did pharmacists have in the pre-Heian Imperial court? In Japan, at the end of the Asuka period (538–710) and the early Nara period (710–794), the men who fulfilled roles similar to those of modern pharmacists were highly respected. The place of pharmacis",status superior to all others in health-related fields such as physicians and acupuncturists,QA_ANSWER
squad_95,What does the First Company Law Directive article 11 require?,"What does the First Company Law Directive article 11 require? Fourth, national courts have a duty to interpret domestic law ""as far as possible in the light of the wording and purpose of the directive"". Textbooks (though not the Court itself) often called this """,incorporations would only be nullified for a fixed list of reasons,QA_ANSWER
squad_96,what was the name of the other HD channel Virgin media could carry in the future?,"what was the name of the other HD channel Virgin media could carry in the future? Virgin Media (re-branded in 2007 from NTL:Telewest) started to offer a high-definition television (HDTV) capable set top box, although from 30 November 2006 until 30 July 2009 it only carried one line",Channel 4 HD,QA_ANSWER
squad_97,How many households had BSkyB service in 1994?,"How many households had BSkyB service in 1994? The service started on 1 September 1993 based on the idea from the then chief executive officer, Sam Chisholm and Rupert Murdoch, of converting the company business strategy to an entirely fee-based c",3.5 million,QA_ANSWER
squad_98,Which month is the first in the year Parliament takes a two week vacation?,"Which month is the first in the year Parliament takes a two week vacation? Parliament typically sits Tuesdays, Wednesdays and Thursdays from early January to late June and from early September to mid December, with two-week recesses in April and October. Plenary meetings in ",April,QA_ANSWER
squad_99,What term do Islamists think should be applied to them?,"What term do Islamists think should be applied to them? Islamists have asked the question, ""If Islam is a way of life, how can we say that those who want to live by its principles in legal, social, political, economic, and political spheres of life are not",Muslims,QA_ANSWER
squad_100,Who concluded that the rising income inequality gap was not getting better?,"Who concluded that the rising income inequality gap was not getting better? In 2014, economists with the Standard & Poor's rating agency concluded that the widening disparity between the U.S.'s wealthiest citizens and the rest of the nation had slowed its recovery from the 20",Standard & Poor,QA_ANSWER
squad_101,Cydippids combs are controlled by what?,"Cydippids combs are controlled by what? Lobates have eight comb-rows, originating at the aboral pole and usually not extending beyond the body to the lobes; in species with (four) auricles, the cilia edging the auricles are extensions of ci",water disturbances created by the cilia,QA_ANSWER
squad_102,How did Celeron feel about Native relations?,"How did Celeron feel about Native relations? In his extensively detailed report, Céloron wrote, ""All I can say is that the Natives of these localities are very badly disposed towards the French, and are entirely devoted to the English. I don't k","very badly disposed towards the French, and are entirely devoted to the English",QA_ANSWER
squad_103,"In a type III secretion system, proteins are transported to the host cell in order to do what?","In a type III secretion system, proteins are transported to the host cell in order to do what? The success of any pathogen depends on its ability to elude host immune responses. Therefore, pathogens evolved several methods that allow them to successfully infect a host, while evading detection o",shut down host defenses,QA_ANSWER
squad_104,What has a classification system for construction companies?,What has a classification system for construction companies? The Standard Industrial Classification and the newer North American Industry Classification System have a classification system for companies that perform or otherwise engage in construction. To recog,The Standard Industrial Classification and the newer North American Industry Classification System,QA_ANSWER
squad_105,How many square kilometers is the Amazon Basin?,"How many square kilometers is the Amazon Basin? The Amazon rainforest (Portuguese: Floresta Amazônica or Amazônia; Spanish: Selva Amazónica, Amazonía or usually Amazonia; French: Forêt amazonienne; Dutch: Amazoneregenwoud), also known in English as","7,000,000 square kilometres (2,70",QA_ANSWER
