candidate_text,candidate_label,source_mention,linker_score
surgery,UMLS:C0543467||surgery,surgery,1.0
Patient Handling,C2350569||Patient Handling,handling,0.7497596144676208
Food Handling,C0016469||Food Handling,handling,0.7458865642547607
handling,UMLS:C1832073||handling,handling,1.0
Triacylglycerol Lipase,C0023764||Triacylglycerol Lipase,lipases,0.8030967712402344
Colipases,C0009306||Colipases,lipases,0.7935869097709656
lipases,UMLS:C0023764||lipases,lipases,1.0
Diagnosis,C0011900||Diagnosis,Diagnosis,0.964364230632782
diagnosis,C1704338||diagnosis,Diagnosis,0.964364230632782
Late Diagnosis,C2718037||Late Diagnosis,Diagnosis,0.852812647819519
"Diagnosis, Oral","C0011914||Diagnosis, Oral",Diagnosis,0.8237369060516357
Overdiagnosis,C0814466||Overdiagnosis,Diagnosis,0.7750687003135681
Diagnosis,UMLS:C0011900||Diagnosis,Diagnosis,1.0
Obesity,C0028754||Obesity,obesity,0.9930850267410278
Weight Prejudice,C5197684||Weight Prejudice,obesity,0.8057866096496582
Abdominal Obesities,C0311277||Abdominal Obesities,obesity,0.7927279472351074
"Obesity, Maternal","C0746977||Obesity, Maternal",obesity,0.7707951664924622
Morbid Obesities,C0028756||Morbid Obesities,obesity,0.7695295810699463
obesity,UMLS:C0028754||obesity,obesity,1.0
Species Specificity,C0037783||Species Specificity,species,0.8524066209793091
Host Specificity,C2936412||Host Specificity,species,0.8090211153030396
Introduced Species,C2936532||Introduced Species,species,0.7648841142654419
Sentinel Species,C4277542||Sentinel Species,species,0.7144546508789062
Speciesism,C0037784||Speciesism,species,0.7080868482589722
species,UMLS:C1705920||species,species,1.0
Genetic Marker,C0017393||Genetic Marker,markers,0.7862920165061951
Cancer Biomarker,C0041365||Cancer Biomarker,markers,0.7815640568733215
Biologic Markers,C0005516||Biologic Markers,markers,0.7437796592712402
"Biomarkers, Tumor","C0041366||Biomarkers, Tumor",markers,0.7052457928657532
markers,UMLS:C0005516||markers,markers,1.0
Method,C0025663||Method,method,0.9613514542579651
method,UMLS:C0025663||method,method,1.0
GRL,UMLS:C0911014||GRL,GRL,1.0
Comprehensive Dental Care,C0009585||Comprehensive Dental Care,comprehensive medical care,0.7920264005661011
Understanding,C0162340||Understanding,comprehensive medical care,0.7745175957679749
Comprehensive Health Care,C0009586||Comprehensive Health Care,comprehensive medical care,0.7577515244483948
CMP Testing,C0519825||CMP Testing,comprehensive medical care,0.7150634527206421
Comprehensive Health Planning,C0009588||Comprehensive Health Planning,comprehensive medical care,0.7083681225776672
comprehensive medical care,UMLS:C0009586||comprehensive medical care,comprehensive medical care,1.0
TCM,UMLS:C4289823||TCM,TCM,1.0
symptoms,C0683368||symptoms,symptoms,0.9782379865646362
Medically Unexplained Symptoms,C3839861||Medically Unexplained Symptoms,symptoms,0.8201242089271545
Prodromal Symptoms,C3494358||Prodromal Symptoms,symptoms,0.7652725577354431
Neurologic Symptoms,C0235031||Neurologic Symptoms,symptoms,0.7301101088523865
Neurobehavioral Manifestations,C0525041||Neurobehavioral Manifestations,symptoms,0.7136462330818176
symptoms,UMLS:C1457887||symptoms,symptoms,1.0
KLHL3,UMLS:C4042100||KLHL3,KLHL3,1.0
Testicles,C0039597||Testicles,left testis,0.7684099674224854
left testis,UMLS:C0227998||left testis,left testis,1.0
Peptides,C0030956||Peptides,Peptide,0.9904359579086304
Proinsulin C-Peptide,C0006558||Proinsulin C-Peptide,Peptide,0.8983185291290283
Peptide T,C0030953||Peptide T,Peptide,0.8360772728919983
Nuclear Export Signals,C1563691||Nuclear Export Signals,Peptide,0.8129579424858093
Peptide,UMLS:C0030956||Peptide,Peptide,1.0
Bombyx,C0037119||Bombyx,Silkworm,0.9657632112503052
Silkworm,UMLS:C0037119||Silkworm,Silkworm,1.0
Viridopromontorius Luna de Carvalho,UMLS:C1015514||Viridopromontorius Luna de Carvalho,Viridopromontorius Luna de Carvalho,1.0
Laparotomies,C0023038||Laparotomies,open laparotomy,0.8205536007881165
open laparotomy,UMLS:C0023038||open laparotomy,open laparotomy,1.0
"Cares, Follow-Up","C3899107||Cares, Follow-Up",follow-up,0.8893150091171265
Lost to Follow Up,C1302313||Lost to Follow Up,follow-up,0.8289649486541748
Follow-Up Studies,C0016441||Follow-Up Studies,follow-up,0.8004769682884216
follow-up,UMLS:C1522577||follow-up,follow-up,1.0
ras Proteins,C0242853||ras Proteins,RAS,0.7780700922012329
ras Genes,C0034677||ras Genes,RAS,0.7021111249923706
RAS,UMLS:C4304837||RAS,RAS,1.0
surgically-treated,UMLS:C0543467||surgically-treated,surgically-treated,1.0
NOS II,C1533698||NOS II,inducible enzymes,0.8188216686248779
"Teap protein, human","C0969348||Teap protein, human",inducible enzymes,0.7239089012145996
Testosterone-Repressed Prostate Message-2 Protein,C0055966||Testosterone-Repressed Prostate Message-2 Protein,inducible enzymes,0.7191320061683655
Enzyme,C0014442||Enzyme,inducible enzymes,0.9896273016929626
enzymes,C0014445||enzymes,inducible enzymes,0.9896273016929626
Enzymes and Coenzymes,C1258127||Enzymes and Coenzymes,inducible enzymes,0.8668336868286133
Enzyme Precursors,C0014436||Enzyme Precursors,inducible enzymes,0.7273792624473572
Coenzymes,C0009235||Coenzymes,inducible enzymes,0.713478147983551
inducible enzymes,UMLS:C0014442||inducible enzymes,inducible enzymes,1.0
WBS,UMLS:C0203669||WBS,WBS,1.0
FerMEG12,UMLS:C0302583||FerMEG12,FerMEG12,1.0
CSCs,UMLS:C1956422||CSCs,CSCs,1.0
Cell Differentiations,C0007589||Cell Differentiations,differentiation,0.8759517669677734
Sex Differentiation,C0036874||Sex Differentiation,differentiation,0.8588297963142395
Differentiation Antigen,C0003324||Differentiation Antigen,differentiation,0.8441703915596008
"Differentiation Factor, B-Cell","C0021760||Differentiation Factor, B-Cell",differentiation,0.7680739760398865
Prostate Differentiation Factor,C0668195||Prostate Differentiation Factor,differentiation,0.7676144242286682
differentiation,UMLS:C0007589||differentiation,differentiation,1.0
Nutrient,C0678695||Nutrient,nutrient,0.9772605299949646
nutrient,UMLS:C0678695||nutrient,nutrient,1.0
MAP Kinase Cascade,C0752319||MAP Kinase Cascade,signaling cascades,0.8173125386238098
signaling cascades,UMLS:C2611812||signaling cascades,signaling cascades,1.0
nonpregnant,UMLS:C0232973||nonpregnant,nonpregnant,1.0
treated with,UMLS:C0332293||treated with,treated with,1.0
Serum,C0229671||Serum,Serum,0.9859862327575684
"Protein, Serum","C0036825||Protein, Serum",Serum,0.8605083227157593
Serum,UMLS:C0229671||Serum,Serum,1.0
"sonic hedgehog homolog (Drosophila) protein, human","C0258846||sonic hedgehog homolog (Drosophila) protein, human",SHH signaling,0.8163920044898987
Cell Signaling,C0037083||Cell Signaling,SHH signaling,0.8367438912391663
Calcium Signaling,C0600431||Calcium Signaling,SHH signaling,0.7481260299682617
Paracrine Communication,C0525011||Paracrine Communication,SHH signaling,0.7417632937431335
SHH signaling,UMLS:C3158055||SHH signaling,SHH signaling,1.0
alpha-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid,C0051318||alpha-Amino-3-hydroxy-5-methyl-4-isoxazolepropionic Acid,AMPA,0.9951375126838684
"Receptors, Quisqualate","C0072899||Receptors, Quisqualate",AMPA,0.7052056789398193
AMPA,UMLS:C0051318||AMPA,AMPA,1.0
epigallocatechin-3-gallate,C0059438||epigallocatechin-3-gallate,epigallocatechin-3-gallate,0.9827315807342529
epigallocatechin-3-gallate,UMLS:C0059438||epigallocatechin-3-gallate,epigallocatechin-3-gallate,1.0
"1,2-cyclopentanediol, 3-(7-(((1R,2S)-2-(3,4-difluorophenyl)cyclopropyl)amino)-5-(propylthio)-3H-1,2,3-triazolo(4,5-d)pyrimidin-3-yl)-5-(2-hydroxyethoxy)-, (1S,2S,3R,5S)-","C1999375||1,2-cyclopentanediol, 3-(7-(((1R,2S)-2-(3,4-difluorophenyl)cyclopropyl)amino)-5-(propylthio)-3H-1,2,3-triazolo(4,5-d)pyrimidin-3-yl)-5-(2-hydroxyethoxy)-, (1S,2S,3R,5S)-",ticagrelor,0.9755220413208008
ticagrelor,UMLS:C1999375||ticagrelor,ticagrelor,1.0
Reduced Vision,C0042798||Reduced Vision,reduced oxygen consumption,0.7688218951225281
Oxygen Consumptions,C0030055||Oxygen Consumptions,reduced oxygen consumption,0.9667053818702698
Consumption,C0009830||Consumption,reduced oxygen consumption,0.7757615447044373
reduced oxygen consumption,UMLS:C1167679||reduced oxygen consumption,reduced oxygen consumption,1.0
Genetic Polymorphism,C0032529||Genetic Polymorphism,rs2229634 C/T polymorphisms,0.9158205986022949
"Polymorphism, Copy Number","C1511518||Polymorphism, Copy Number",rs2229634 C/T polymorphisms,0.7570667862892151
rs2229634 C/T polymorphisms,UMLS:C0752046||rs2229634 C/T polymorphisms,rs2229634 C/T polymorphisms,1.0
Psychopathology,C0033927||Psychopathology,psychopathology,0.9886607527732849
Psychology,C0033909||Psychology,psychopathology,0.8080756068229675
psychology,C1524060||psychology,psychopathology,0.8080756068229675
"Set, Psychology","C0036849||Set, Psychology",psychopathology,0.7089045643806458
psychopathology,UMLS:C0033927||psychopathology,psychopathology,1.0
Cu,UMLS:C0009968||Cu,Cu,1.0
"Expressions, Gene","C0017262||Expressions, Gene",expression,0.8823862671852112
Facial Expression,C0015457||Facial Expression,expression,0.8554725050926208
Ectopic Gene Expression,C1512167||Ectopic Gene Expression,expression,0.7685436606407166
Regulation of Gene Expression,C0017263||Regulation of Gene Expression,expression,0.7592074275016785
"Analysis, Transcript Expression","C0752248||Analysis, Transcript Expression",expression,0.7211131453514099
expression,UMLS:C1171362||expression,expression,1.0
Bacterium coli,C0014834||Bacterium coli,bacterium,0.8187347650527954
Agrobacterium tumefaciens,C0085472||Agrobacterium tumefaciens,bacterium,0.7756980657577515
Corynebacterium renale,C0315176||Corynebacterium renale,bacterium,0.7391824722290039
Empedobacter brevis,C0317526||Empedobacter brevis,bacterium,0.7389454245567322
Yersinia pestis,C0043408||Yersinia pestis,bacterium,0.7352035045623779
bacterium,UMLS:C0004611||bacterium,bacterium,1.0
Memory Deficit,C0233794||Memory Deficit,memory deficit,0.9933372735977173
memory deficit,UMLS:C0233794||memory deficit,memory deficit,1.0
cortical atrophy,UMLS:C0235946||cortical atrophy,cortical atrophy,1.0
"B Cells, Lymphocyte","C0004561||B Cells, Lymphocyte",B-lymphocytes,0.9811733365058899
Memory B Cells,C0682638||Memory B Cells,B-lymphocytes,0.8457388877868652
Pro-B Lymphocytes,C1955926||Pro-B Lymphocytes,B-lymphocytes,0.8330064415931702
Lymphocyte,C0024264||Lymphocyte,B-lymphocytes,0.8278962969779968
Transitional B Cell,C1512631||Transitional B Cell,B-lymphocytes,0.804458498954773
B-lymphocytes,UMLS:C0004561||B-lymphocytes,B-lymphocytes,1.0
CS,UMLS:C0162969||CS,CS,1.0
Case Study,C0085973||Case Study,study,0.8543142080307007
Study Guide,C0681464||Study Guide,study,0.75447016954422
Clinical Study,C0008972||Clinical Study,study,0.7513988614082336
Twin Studies,C1096782||Twin Studies,study,0.7347497940063477
Pilot Projects,C0031928||Pilot Projects,study,0.7283914685249329
study,UMLS:C2603343||study,study,1.0
OLA,UMLS:C0028928||OLA,OLA,1.0
MMAE,UMLS:C1565020||MMAE,MMAE,1.0
Reports,C0684224||Reports,report,0.9863710999488831
report,UMLS:C0700287||report,report,1.0
"Trigeminal Neuralgia, Idiopathic","C0393786||Trigeminal Neuralgia, Idiopathic",Idiopathic Trigeminal Neuralgia,0.9755146503448486
Epileptiform Neuralgias,C0040997||Epileptiform Neuralgias,Idiopathic Trigeminal Neuralgia,0.7877606749534607
Idiopathic Trigeminal Neuralgia,UMLS:C0393786||Idiopathic Trigeminal Neuralgia,Idiopathic Trigeminal Neuralgia,1.0
gene control,UMLS:C0017263||gene control,gene control,1.0
"Thromboembolism, Venous","C1861172||Thromboembolism, Venous",venous thromboembolic,0.8572678565979004
Phlebothrombosis,C0042487||Phlebothrombosis,venous thromboembolic,0.7181499600410461
Thromboembolisms,C0040038||Thromboembolisms,venous thromboembolic,0.7063227295875549
venous thromboembolic,UMLS:C1861172||venous thromboembolic,venous thromboembolic,1.0
"Superfamily, Cytochrome P450","C0010762||Superfamily, Cytochrome P450",cytochrome P450,0.9803073406219482
"Cholesterol,NADPH:oxygen oxidoreductase (7 alpha-hydroxylating)","C0008396||Cholesterol,NADPH:oxygen oxidoreductase (7 alpha-hydroxylating)",cytochrome P450,0.9275426268577576
Cytochrome P-450(AROM),C0003805||Cytochrome P-450(AROM),cytochrome P450,0.8908866047859192
testosterone 7-alpha-hydroxylase,C0599930||testosterone 7-alpha-hydroxylase,cytochrome P450,0.8774405121803284
"N-Demethylase, Erythromycin","C0059563||N-Demethylase, Erythromycin",cytochrome P450,0.8710779547691345
cytochrome P450,UMLS:C0010762||cytochrome P450,cytochrome P450,1.0
virus,UMLS:C1671055||virus,virus,1.0
infection,UMLS:C0439663||infection,infection,1.0
ACC,UMLS:C0181074||ACC,ACC,1.0
Residual Cancer,C0242594||Residual Cancer,residual cancer,0.9745758175849915
residual cancer,UMLS:C0242594||residual cancer,residual cancer,1.0
Autoantibody,C0004358||Autoantibody,autoantibodies,0.9871355891227722
"Factor, Antinuclear","C0003243||Factor, Antinuclear",autoantibodies,0.8238797783851624
anti-Ro52 autoantibodies,C0075128||anti-Ro52 autoantibodies,autoantibodies,0.8046281933784485
"Autoantibody, Cardiolipin","C0162596||Autoantibody, Cardiolipin",autoantibodies,0.7816740870475769
Antibodies,C0003241||Antibodies,autoantibodies,0.7659335136413574
autoantibodies,UMLS:C0004358||autoantibodies,autoantibodies,1.0
Shingles,C0019360||Shingles,zoster,0.9501408338546753
zoster,UMLS:C0019360||zoster,zoster,1.0
Systematics,C0008902||Systematics,misclassification,0.8213908076286316
classification,C0008903||classification,misclassification,0.8213908076286316
misclassification,UMLS:C0008902||misclassification,misclassification,1.0
"Animal, Companion","C0031268||Animal, Companion",pets,0.9833950996398926
pets,UMLS:C0031268||pets,pets,1.0
"Study, Drug Evaluation","C0013175||Study, Drug Evaluation",evaluation,0.8140830397605896
Program Evaluation,C0033336||Program Evaluation,evaluation,0.7909751534461975
Self-Evaluation,C2936633||Self-Evaluation,evaluation,0.7821669578552246
Economic Evaluation,C0150099||Economic Evaluation,evaluation,0.7612223029136658
Drug Utilization Reviews,C0206176||Drug Utilization Reviews,evaluation,0.7433014512062073
evaluation,UMLS:C0220825||evaluation,evaluation,1.0
p-cimene,C0048220||p-cimene,p-cymene,0.9565169215202332
p-cymene,UMLS:C0048220||p-cymene,p-cymene,1.0
NETA,UMLS:C0068980||NETA,NETA,1.0
interlocking screw,UMLS:C0441273||interlocking screw,interlocking screw,1.0
SNAps,UMLS:C0004936||SNAps,SNAps,1.0
Body Identity,C0005891||Body Identity,images,0.7420037388801575
images,UMLS:C1704254||images,images,1.0
"Printing, Three-Dimensional","C3849992||Printing, Three-Dimensional",3D,0.7239183783531189
3D,UMLS:C0450363||3D,3D,1.0
MeHg,UMLS:C0025794||MeHg,MeHg,1.0
Chromatin Assembly,C1456459||Chromatin Assembly,modeling,0.7107288837432861
modeling,UMLS:C0870071||modeling,modeling,1.0
Caspases,C0010656||Caspases,cases,0.7143752574920654
cases,UMLS:C0150093||cases,cases,1.0
Pressure,C0033095||Pressure,pressure,0.9757479429244995
Decubitus Ulcer,C0011127||Decubitus Ulcer,pressure,0.8197790384292603
Atrial Pressure,C0428877||Atrial Pressure,pressure,0.7717530727386475
Air Pressure,C0001876||Air Pressure,pressure,0.7551611661911011
Portal Pressure,C0162523||Portal Pressure,pressure,0.7548481225967407
pressure,UMLS:C0005823||pressure,pressure,1.0
Protein,C0033684||Protein,adapter protein,0.7034165263175964
adapter protein,UMLS:C1449886||adapter protein,adapter protein,1.0
Navajo People,C5690824||Navajo People,people,0.8776397705078125
"Person, Asian","C0078988||Person, Asian",people,0.7774355411529541
Pima People,C5690825||Pima People,people,0.7473679184913635
"People, Indigenous","C4760587||People, Indigenous",people,0.7447186708450317
"Persons, Black","C5574920||Persons, Black",people,0.7057456374168396
people,UMLS:C0027361||people,people,1.0
chest,UMLS:C0817096||chest,chest,1.0
Northeast Chinese Population,UMLS:C0152035||Northeast Chinese Population,Northeast Chinese Population,1.0
"Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization","C0282597||Spectrometry, Mass, Matrix-Assisted Laser Desorption-Ionization",MALDI MSI,0.7867043018341064
MALDI MSI,UMLS:C0282597||MALDI MSI,MALDI MSI,1.0
septal flash,UMLS:C3164858||septal flash,septal flash,1.0
Waist-Height Ratio,C1821269||Waist-Height Ratio,waist to height ratio,0.9707265496253967
waist to height ratio,UMLS:C1821269||waist to height ratio,waist to height ratio,1.0
liver tissues,UMLS:C0736268||liver tissues,liver tissues,1.0
One-Hybrid System Techniques,C0752170||One-Hybrid System Techniques,hybrid system,0.7094689607620239
hybrid system,UMLS:C1881073||hybrid system,hybrid system,1.0
China,C0008115||China,China,0.9948666095733643
Mental Region,C0008114||Mental Region,China,0.7271403074264526
China,UMLS:C0008115||China,China,1.0
DCAN,UMLS:C0057843||DCAN,DCAN,1.0
OCD,UMLS:C0028768||OCD,OCD,1.0
Body Mass Index,C1305855||Body Mass Index,body mass index,0.9893221855163574
body mass index,UMLS:C1305855||body mass index,body mass index,1.0
Gallbladder,C0016976||Gallbladder,contractibility of gallbladder,0.9604519605636597
Gall Bladder Cancers,C0153452||Gall Bladder Cancers,contractibility of gallbladder,0.8835110664367676
"Disease, Gall Bladder","C0016977||Disease, Gall Bladder",contractibility of gallbladder,0.8500242829322815
Gallbladder Neoplasms,C0016978||Gallbladder Neoplasms,contractibility of gallbladder,0.7927116751670837
Gallbladder Inflammation,C0008325||Gallbladder Inflammation,contractibility of gallbladder,0.7640677094459534
contractibility of gallbladder,UMLS:C0232772||contractibility of gallbladder,contractibility of gallbladder,1.0
Terahertz Radiation,C2350264||Terahertz Radiation,terahertz,0.7790820002555847
Terahertz Imaging,C2350266||Terahertz Imaging,terahertz,0.7618081569671631
terahertz,UMLS:C2350265||terahertz,terahertz,1.0
beta-Cell Tumor,C0021670||beta-Cell Tumor,insulinoma,0.986343264579773
Insulin Coma,C0021645||Insulin Coma,insulinoma,0.7958182692527771
Soluble Insulin,C0021641||Soluble Insulin,insulinoma,0.7404775023460388
insulinoma,UMLS:C0021670||insulinoma,insulinoma,1.0
Shoulder,C0037004||Shoulder,shoulder,0.9729703068733215
"Pains, Shoulder","C0037011||Pains, Shoulder",shoulder,0.8620812892913818
Scapulae,C0036277||Scapulae,shoulder,0.8171663880348206
"Joints, Glenohumeral","C0037009||Joints, Glenohumeral",shoulder,0.7809709310531616
"Shoulder, Prosthetic","C1961833||Shoulder, Prosthetic",shoulder,0.7763528227806091
shoulder,UMLS:C0037009||shoulder,shoulder,1.0
vapA,UMLS:C1421424||vapA,vapA,1.0
"Illness, Chronic","C0008679||Illness, Chronic",chronic diseases,0.991341233253479
"Disease, Chronic Renal","C1561643||Disease, Chronic Renal",chronic diseases,0.8626846075057983
"Syndromes, Post-Lyme Disease","C2063079||Syndromes, Post-Lyme Disease",chronic diseases,0.768272340297699
Diseases,C0012634||Diseases,chronic diseases,0.7232101559638977
Colonic Disease,C0009373||Colonic Disease,chronic diseases,0.7224581241607666
chronic diseases,UMLS:C0008679||chronic diseases,chronic diseases,1.0
Human papillomavirus 6,C1005556||Human papillomavirus 6,HPV 16,0.8985239267349243
Human papillomavirus 11,C1093046||Human papillomavirus 11,HPV 16,0.8511106371879578
HPV-16,C0999806||HPV-16,HPV 16,0.8337967991828918
Human papillomavirus type 18,C0999807||Human papillomavirus type 18,HPV 16,0.8277440071105957
Human papillomavirus 31,C2936597||Human papillomavirus 31,HPV 16,0.8032068014144897
HPV 16,UMLS:C0999806||HPV 16,HPV 16,1.0
Attention,C0004268||Attention,attention,0.9759864211082458
Attentional Bias,C4277667||Attentional Bias,attention,0.7253313064575195
attention,UMLS:C0004268||attention,attention,1.0
"Corpuscle, Red Blood","C0014792||Corpuscle, Red Blood",red blood cell,0.9833418130874634
"Cell, Blood","C0005773||Cell, Blood",red blood cell,0.8551926612854004
Red Blood Cell Count,C0014772||Red Blood Cell Count,red blood cell,0.8183634877204895
"Transfusion, Red Blood Cell","C0086252||Transfusion, Red Blood Cell",red blood cell,0.7329196929931641
red blood cell,UMLS:C0014792||red blood cell,red blood cell,1.0
split-course CCRT,UMLS:C3178775||split-course CCRT,split-course CCRT,1.0
Memory,C0025260||Memory,memory,0.9950895309448242
"Memory, Remote","C0233793||Memory, Remote",memory,0.7793865203857422
Memory T Cells,C0682639||Memory T Cells,memory,0.7205790281295776
memory,UMLS:C0025260||memory,memory,1.0
jumpers,UMLS:C1257890||jumpers,jumpers,1.0
Lactate,C0376261||Lactate,lactate,0.9895734786987305
Lactates,C0022924||Lactates,lactate,0.777782142162323
Sodium Lactate,C0142874||Sodium Lactate,lactate,0.7013397812843323
lactate,UMLS:C0022924||lactate,lactate,1.0
brain activity,UMLS:C0443158||brain activity,brain activity,1.0
CD138 Antigen,C1609943||CD138 Antigen,CD138,0.8079062104225159
"syndecan 1 protein, human","C0753253||syndecan 1 protein, human",CD138,0.7461591362953186
CD138,UMLS:C1609943||CD138,CD138,1.0
"Grain, Pollen","C0032385||Grain, Pollen",pollen,0.9934297800064087
Pollen Tube,C1136227||Pollen Tube,pollen,0.716404378414154
pollen,UMLS:C0032385||pollen,pollen,1.0
Prognostic Factors,C1514474||Prognostic Factors,prognostic factors,0.9611319899559021
prognostic factors,UMLS:C1514474||prognostic factors,prognostic factors,1.0
Population,C0032659||Population,population,0.9813888669013977
Copulation,C0009990||Copulation,population,0.7943040132522583
Population Control,C0032662||Population Control,population,0.7554655075073242
Population Health,C3242284||Population Health,population,0.7399222254753113
Rural Population,C0035962||Rural Population,population,0.7396398782730103
